ID,Phase,Category,Priority,Status,Title,Description,File/Location,Blocks_Production,Notes
1,Foundation,Auth,Critical,DONE,JWT auth system,HS256 access token (15m) + refresh token (7d) + ParseToken + JWT_SECRET from env,internal/auth/jwt.go,YES,GenerateAccessToken + GenerateRefreshToken + ParseToken implemented
2,Foundation,Auth,Critical,DONE,POST /api/v1/auth/signup,bcrypt cost 12 + email validation + token pair on 201,internal/api/handlers/auth/signup.go,YES,
3,Foundation,Auth,Critical,DONE,POST /api/v1/auth/login,bcrypt compare + IsActive check + generic error prevents email enumeration,internal/api/handlers/auth/login.go,YES,
4,Foundation,Auth,Critical,DONE,POST /api/v1/auth/refresh,Validates refresh token type + issues new rotated access+refresh pair,internal/api/handlers/auth/refresh.go,YES,
5,Foundation,Auth,Critical,DONE,POST /api/v1/auth/logout,Writes refresh token to Redis blocklist with remaining TTL + returns 204,internal/api/handlers/auth/logout.go,YES,
6,Foundation,Auth,Critical,DONE,JWT auth middleware on all protected routes,Authenticate middleware parses Bearer JWT + checks Redis blocklist + stores userID in context,internal/middleware/auth.go,YES,Protected subrouter applied in api_v1.go
7,Foundation,Profile,Critical,DONE,GET /api/v1/me,Reads userID from context + queries User by PK + returns meResponse (no PasswordHash),internal/api/handlers/profile/me.go,YES,
8,Foundation,Profile,Low,DONE,PATCH /api/v1/me,Validates userName (min 1 max 100) + updates user_name column + returns updated meResponse,internal/api/handlers/profile/me.go,NO,
9,Foundation,Middleware,Medium,DONE,Request ID middleware,Reads X-Request-ID header or generates id with atomic counter suffix for uniqueness,internal/middleware/requestid.go,NO,Fixes flaky test — atomic counter guarantees uniqueness
10,Foundation,Middleware,Medium,DONE,Logging middleware,Logs method + path + status + duration using zap,internal/middleware/logger.go,NO,
11,Foundation,Middleware,Medium,DONE,Rate limiting middleware,Per-IP token bucket using golang.org/x/time/rate with cleanup goroutine,internal/middleware/ratelimit.go,NO,Not yet wired to auth routes specifically
12,Foundation,Middleware,Medium,DONE,Input validation layer,BindAndValidate decodes JSON + runs go-playground/validator + returns 400 on failure,internal/validation/validate.go,NO,
13,Foundation,Contracts,Medium,DONE,JSON response envelope,NewSuccess and NewError helpers used by all api_v1.go handlers,internal/contracts/envelope.go,NO,Auth and profile handlers still use inline encoding — migrate later
14,Foundation,Security,Critical,DONE,CORS restricted to allowlist,corsAllowedOrigins() reads ALLOWED_ORIGINS env var. Defaults to localhost dev origins only.,internal/server/routes.go,YES,Wildcard removed
15,Foundation,Security,Critical,DONE,AES-GCM encryption utilities,Encrypt/decrypt string values for secrets at rest,internal/security/encryption.go,NO,KMS integration is a future enhancement
16,Foundation,Security,Critical,DONE,Graceful HTTP server shutdown,srv.Shutdown with 15s context timeout on SIGINT/SIGTERM,internal/server/routes.go,YES,
17,Foundation,DB,Medium,DONE,DB migration 000012 — user_settings table,JSONB settings_json per section + UNIQUE(user_id section) + CASCADE delete,internal/db/migrations/000012,NO,
18,Foundation,DB,Medium,DONE,DB migration 000013 — watchlists table,watchlists + watchlist_items tables,internal/db/migrations/000013,NO,
19,Foundation,DB,Medium,DONE,DB migration 000014 — backtest_jobs table,backtest_jobs with status + result JSONB,internal/db/migrations/000014,NO,
20,Foundation,DB,Medium,DONE,DB migration 000015 — notification tables,notification_channels + notification_history tables,internal/db/migrations/000015,NO,
21,Foundation,DB,Medium,DONE,DB migration 000016 — audit_events table,audit_events with event_type + resource + action + metadata JSONB,internal/db/migrations/000016,NO,
22,Stability,WebSocket,Critical,DONE,Fix simulation mode nil-pointer crash,Server crashed on startup in simulate=true mode — client.Kite dereferenced when nil,cmd/server/main.go,YES,Zerodha validation + instrument subscription guarded behind !simulate
23,Stability,WebSocket,Critical,DONE,Add WS read deadlines + pong handlers to all four WS handlers,Connections hung indefinitely with no timeout or stale connection detection,internal/server/routes.go,YES,SetReadLimit(512KB) + SetReadDeadline(60s) + SetPongHandler on /ws /ws/candles /ws/indicators /ws/heatmap
