TaskID,Category,Area,Priority,Severity,Phase,Epic,Task,Description,DependsOn,PrimaryFiles,AcceptanceCriteria,Status
PRD-001,Security,Auth,P0,Critical,Foundation,Auth hardening,Remove weak JWT secret fallback,"Fail startup if JWT_SECRET is missing or weak; remove default secret fallback behavior.",None,"internal/auth/jwt.go; cmd/server/main.go","Server refuses to start without strong JWT_SECRET.","TODO"
PRD-002,Security,Auth,P0,Critical,Foundation,Auth hardening,Add JWT config validation,"Validate secret length, token TTL ranges, and auth env vars at boot.",PRD-001,"internal/auth/jwt.go; internal/utils/config.go; cmd/server/main.go","Invalid auth config fails fast with clear startup error.","TODO"
PRD-003,Security,Auth,P0,Critical,Foundation,Session integrity,Check refresh-token blocklist on refresh,"Ensure revoked refresh tokens cannot mint new access tokens.",PRD-001,"internal/api/handlers/auth/refresh.go; internal/api/handlers/auth/logout.go","Revoked refresh token returns 401 and no new tokens.","TODO"
PRD-004,Security,Auth,P0,High,Foundation,Session integrity,Add refresh token jti claim,"Introduce unique token/session identifiers for refresh-token tracking.",PRD-001,"internal/auth/jwt.go","Refresh tokens contain unique jti values.","TODO"
PRD-005,Security,Auth,P0,High,Foundation,Session integrity,Add issuer audience subject claims,"Add iss, aud, sub, and stronger registered claims to JWTs.",PRD-001,"internal/auth/jwt.go","Access and refresh tokens carry validated standard claims.","TODO"
PRD-006,Security,Auth,P0,High,Foundation,Session integrity,Design persisted refresh session store,"Prepare DB or Redis-backed refresh-session model for rotation and revocation.",PRD-004,"internal/db/*; internal/auth/*","Session schema and lifecycle contract are defined and implemented.","TODO"
PRD-007,Security,Auth,P0,High,Foundation,Abuse prevention,Apply auth route rate limiting,"Use stricter limits on signup, login, refresh, and logout endpoints.",PRD-001,"internal/middleware/ratelimit.go; internal/server/api_v1.go","Auth endpoints are rate-limited with tests.","TODO"
PRD-008,Security,Auth,P1,Medium,Foundation,Abuse prevention,Add failed login counters and backoff,"Track failed logins and slow brute force attacks.",PRD-007,"internal/api/handlers/auth/login.go; internal/db/*","Repeated login failures trigger configured backoff/lockout behavior.","TODO"
PRD-009,Security,Auth,P2,Medium,Foundation,Account lifecycle,Add email verification flow,"Require account verification before elevated production use.",PRD-007,"internal/api/handlers/auth/*; internal/notifications/*","Verification flow exists and protected actions can require verified accounts.","TODO"
PRD-010,Security,Auth,P2,Medium,Foundation,Account lifecycle,Add MFA-ready session hooks,"Introduce MFA placeholders and extensible session challenge model.",PRD-006,"internal/auth/*; internal/api/handlers/auth/*","Auth model supports optional MFA extension without redesign.","TODO"
PRD-011,Security,Broker,P0,Critical,Foundation,Broker secret handling,Remove .access_token live runtime dependency,"Stop loading live broker access token from filesystem.",None,"cmd/server/main.go; internal/api/zerodha.go","Live runtime no longer depends on .access_token file.","TODO"
PRD-012,Security,Broker,P0,Critical,Foundation,Broker secret handling,Remove hardcoded request token from get-token utility,"Eliminate hardcoded broker auth material from source code.",None,"cmd/get-token/get_token.go","No hardcoded request token remains in source.","TODO"
PRD-013,Security,Broker,P0,High,Foundation,Broker secret handling,Mark get-token utility as development-only or retire it,"Avoid normalizing unsafe broker token workflows.",PRD-012,"cmd/get-token/get_token.go; README.md","Utility is either removed or clearly labeled non-production.","TODO"
PRD-014,Security,Broker,P1,Critical,Foundation,Broker session model,Implement encrypted per-user broker token storage,"Use encryption utility for access and public token persistence in user_broker_accounts.",PRD-011,"internal/security/encryption.go; internal/db/models.go; internal/api/handlers/broker/*","Broker tokens are encrypted at rest and linked to user/account.","TODO"
PRD-015,Security,Broker,P1,High,Foundation,Broker session model,Implement broker OAuth connect endpoint,"Create authenticated flow to initiate per-user Zerodha auth.",PRD-014,"internal/api/handlers/broker/*; internal/server/api_v1.go","Connect endpoint issues valid redirect URL and persists request context.","TODO"
PRD-016,Security,Broker,P1,High,Foundation,Broker session model,Implement broker OAuth callback endpoint,"Exchange request_token and store encrypted tokens for the correct user/account.",PRD-015,"internal/api/handlers/broker/*; internal/api/zerodha.go","Callback validates state and stores encrypted tokens correctly.","TODO"
PRD-017,Security,Broker,P1,High,Foundation,Broker session model,Implement broker disconnect endpoint,"Deactivate broker session without affecting other users/accounts.",PRD-015,"internal/api/handlers/broker/*","Disconnect marks account inactive and revokes runtime usage.","TODO"
PRD-018,Security,Broker,P1,High,Foundation,Broker session model,Validate OAuth state and CSRF protections,"Ensure broker callback flow cannot be replayed or hijacked.",PRD-016,"internal/api/handlers/broker/*","Invalid or reused state is rejected.","TODO"
