Step,Week,Day,Time_Block,Phase,Task_ID,Title,Status,Why_First,File_To_Create_Or_Edit,What_To_Do,Depends_On,Estimated_Minutes,Difficulty_For_Beginner
1,1,Mon,09:00-10:00,Foundation,–,Understand project layout,DONE,You cannot build what you do not understand,–,Read routes.go + main.go + models.go + Tasks.md top to bottom. Draw a box diagram on paper: Browser → HTTP → Handler → DB/Redis,–,60,Easy
2,1,Mon,10:00-11:00,Foundation,–,Verify the project compiles and runs today,DONE,Catch broken imports before adding new code,Go-project/,Run: go build ./... and fix any compile errors. Then go run cmd/server/main.go and confirm server starts,Step 1,60,Easy
3,1,Mon,11:00-12:00,Foundation,25,Implement standard JSON response envelope helper,DONE,Every handler you write from now on will use this. Do it once now.,internal/contracts/envelope.go,envelope.go already has structs. Add a WriteSuccess and WriteError helper func that calls json.NewEncoder(w).Encode and sets Content-Type header,Step 2,60,Easy
4,1,Mon,13:00-14:00,Foundation,22,Implement Request-ID middleware,DONE,Needed by envelope Meta.RequestID in every response,internal/middleware/requestid.go,Middleware reads X-Request-ID header or generates id with atomic counter suffix. Stores in context. Passes to next handler.,Step 3,45,Easy
5,1,Mon,14:00-15:00,Foundation,23,Implement logging middleware,DONE,You need to see every request in logs while building,internal/middleware/logger.go,Logs method + path + status + duration using zap. Wraps next handler.,Step 4,45,Easy
6,1,Mon,15:00-16:00,Foundation,26,Implement input validation helper,DONE,All auth handlers need this immediately,internal/validation/validate.go,BindAndValidate decodes JSON body and runs go-playground/validator. Returns 400 on error using WriteError.,Step 3,60,Medium
7,1,Mon,16:00-17:00,Foundation,–,Wire new middleware into router,DONE,Middleware is useless until registered,internal/server/routes.go,router.Use(middleware.RequestID) and router.Use(middleware.Logger) wired at top of StartHTTPServer.,Steps 4-5,30,Easy
8,1,Tue,09:00-10:30,Auth,27,Run + verify DB migrations 000012-000016,DONE,Auth and settings handlers need these tables to exist,scripts/db_migrate.sh,Run migrate up for 000012 through 000016. Confirm tables: user_settings watchlists backtest_jobs notification_channels audit_events,Step 2,90,Easy
9,1,Tue,10:30-12:00,Auth,2,Implement POST /api/v1/auth/signup,DONE,Login cannot exist without signup. This is the entry point for all users,internal/api/handlers/auth/signup.go,bcrypt cost 12 + validation + token pair returned on 201.,Step 6 + Step 8,90,Medium
10,1,Tue,13:00-14:30,Auth,3,Implement POST /api/v1/auth/login,DONE,Users need a token to call any protected endpoint,internal/api/handlers/auth/login.go,bcrypt compare + IsActive check + token pair + generic error message prevents email enumeration.,Step 9,90,Medium
11,1,Tue,14:30-15:30,Auth,–,Create JWT helper package,DONE,Signup and login both need token generation and parsing in one place,internal/auth/jwt.go,GenerateAccessToken GenerateRefreshToken and ParseToken using golang-jwt/jwt. Reads JWT_SECRET from env.,Step 10,60,Medium
12,1,Tue,15:30-16:30,Auth,4,Implement POST /api/v1/auth/refresh,DONE,Without this users get logged out every 15 minutes,internal/api/handlers/auth/refresh.go,Validates refresh token type + issues new rotated access+refresh pair.,Step 11,60,Medium
13,1,Tue,16:30-17:00,Auth,5,Implement POST /api/v1/auth/logout,DONE,Complete the auth lifecycle,internal/api/handlers/auth/logout.go,Writes refresh token to Redis blocklist with remaining TTL. Returns 204.,Step 12,30,Easy
14,1,Wed,09:00-10:00,Auth,1,Implement JWT auth middleware,DONE,Without this every endpoint is public. This is the security gate,internal/middleware/auth.go,Parses Bearer JWT. Rejects 401 if invalid or blocklisted. Stores userID in context.,Step 11 + Step 13,60,Medium
15,1,Wed,10:00-10:30,Auth,–,Register all auth routes + protect routes,DONE,Wire everything built so far into the router,internal/server/api_v1.go,/api/v1/auth/* routes registered. Protected subrouter with authMiddleware applied.,Step 14,30,Easy
16,1,Wed,10:30-11:30,Auth,6,Implement GET /api/v1/me,DONE,First protected endpoint. Proves auth middleware works end to end,internal/api/handlers/profile/me.go,Reads userID from context. Queries User by PK. Returns meResponse (no PasswordHash).,Step 15,60,Easy
17,1,Wed,11:30-12:00,Auth,–,Manual test auth flow end to end,TODO,Catch bugs before building on top of broken auth,–,Use curl or Postman: signup → login → /me → refresh → logout → confirm /me returns 401,Step 16,30,Easy
18,1,Wed,13:00-14:00,Foundation,24,Implement rate limiting middleware,DONE,Auth endpoints are brute-force targets. Add this now before going further,internal/middleware/ratelimit.go,Per-IP token bucket using golang.org/x/time/rate. Cleanup goroutine removes stale entries.,Step 15,60,Medium
19,1,Wed,14:00-15:30,Settings,8,Implement GET /api/v1/settings,TODO,Frontend Settings.tsx is already built and waiting for this,internal/api/handlers/settings/settings.go,Query user_settings table by userID. Return settings JSON. Decrypt secret fields before returning.,Step 16,90,Medium
20,1,Wed,15:30-17:00,Settings,8,Implement PUT /api/v1/settings,TODO,Pair with GET so settings are actually usable,internal/api/handlers/settings/settings.go,Decode body. Encrypt secret fields. Upsert into user_settings. Return updated settings.,Step 19,90,Medium
21,1,Thu,09:00-10:30,Health,7,Implement GET /api/v1/health,DONE,You need this to know if the server is alive during all future testing,internal/server/api_v1.go,Implemented in api_v1.go. Pings DB and Redis. Returns uptime + mode + dependency status.,Step 15,90,Easy
22,1,Thu,10:30-12:00,Broker,9,Implement GET /api/v1/brokers/zerodha/status,DONE,Broker connection is needed before any live order or position endpoint works,internal/server/api_v1.go,Implemented in api_v1.go. Calls GetUserProfile if client is set. Returns connected/disconnected state.,Step 20,90,Medium
23,1,Thu,13:00-14:30,Broker,9,Implement POST /api/v1/brokers/zerodha/connect + callback + disconnect,TODO,Complete the OAuth flow so Zerodha token can be stored,internal/api/handlers/broker/broker.go,connect: store encrypted API key+secret. callback: exchange request_token for access_token. disconnect: set IsActive=false.,Step 22,90,Medium
24,1,Thu,14:30-15:30,Market,18,Implement GET /api/v1/instruments/search,TODO,Needed by watchlist and order placement. Simple DB query,internal/api/handlers/market/instruments.go,Accept q query param. SELECT from instruments WHERE tradingsymbol ILIKE '%q%' LIMIT 20. Return array.,Step 15,60,Easy
25,1,Thu,15:30-17:00,Market,19,Implement GET /api/v1/candles,TODO,Frontend chart needs historical candles on load before WebSocket kicks in,internal/api/handlers/market/candles.go,Accept token interval from and to query params. Query ohlcv_candles table. Return array of OHLCV objects.,Step 15,90,Medium
26,1,Fri,09:00-10:30,Market,20,Implement GET /api/v1/market/overview,DONE,MarketData.tsx and MarketOverview.tsx are waiting for this,internal/server/api_v1.go,Implemented in api_v1.go. Uses heatmap snapshot. Returns indices + gainers + losers + breadth.,Step 25,90,Medium
27,1,Fri,10:30-12:00,Watchlist,10,Implement GET /api/v1/watchlists/default,TODO,Frontend watchlist panel needs this to show saved symbols,internal/api/handlers/watchlist/watchlist.go,Query watchlists + watchlist_items joined for current user. Return list of symbols with last price from Redis cache.,Step 24,90,Medium
28,1,Fri,13:00-14:00,Watchlist,10,Implement POST /api/v1/watchlists/default/items,TODO,Pair with GET so user can add symbols,internal/api/handlers/watchlist/watchlist.go,Validate instrument token exists. Insert into watchlist_items. Return updated watchlist.,Step 27,60,Easy
29,1,Fri,14:00-15:30,Orders,12,Implement GET /api/v1/orders,TODO,PositionsPanel.tsx needs order list,internal/api/handlers/orders/orders.go,Query orders table WHERE user_id = currentUser. Support status filter. Return paginated list.,Step 15,90,Medium
30,1,Fri,15:30-17:00,Orders,12,Implement POST /api/v1/orders,TODO,Core trading action. Paper trading mode first,internal/api/handlers/orders/orders.go,Validate body. Check simulate flag. If paper: insert PENDING order. If live: call Zerodha PlaceOrder. Idempotency key required.,Step 29,90,Hard
31,2,Mon,09:00-10:30,Positions,11,Implement GET /api/v1/positions,TODO,PositionsPanel.tsx is the main dashboard panel,internal/api/handlers/positions/positions.go,Query positions table WHERE user_id = currentUser AND quantity != 0. Return list with unrealized PnL.,Step 30,90,Medium
32,2,Mon,10:30-12:00,Orders,36,Implement GET /api/v1/trades,TODO,Show trade history in UI,internal/api/handlers/orders/trades.go,Query trades table WHERE user_id = currentUser. Support date range filter. Return paginated list.,Step 30,90,Easy
33,2,Mon,13:00-14:30,Orders,37,Implement DELETE /api/v1/orders/{id} and PUT /api/v1/orders/{id},TODO,Users need to cancel or modify open orders,internal/api/handlers/orders/orders.go,DELETE: set status CANCELLED. If live call Zerodha CancelOrder. PUT: modify price/qty for OPEN orders.,Step 30,90,Medium
34,2,Mon,14:30-16:00,Realtime,21,Implement WebSocket hub with topic subscriptions,TODO,All WS panels need a unified hub. Build the core first,internal/realtime/hub.go,Hub struct with map of topic to set of connections. Register Unregister Broadcast methods. SUBSCRIBE/UNSUBSCRIBE protocol.,Step 15,90,Hard
35,2,Mon,16:00-17:00,Realtime,–,Wire hub into router and replace old WS handlers,TODO,Old /ws /ws/candles /ws/indicators are separate. Unify under /ws/v1/dashboard,internal/server/routes.go,Add /ws/v1/dashboard route pointing to hub.ServeWS. Keep old routes temporarily for backward compat.,Step 34,60,Medium
36,2,Tue,09:00-10:30,Realtime,31,Implement WS topic: orders and positions,TODO,PositionsPanel.tsx subscribes to these,internal/realtime/topics.go,When order or position is saved to DB call hub.Broadcast(topicOrders) and hub.Broadcast(topicPositions).,Step 34 + Step 33,90,Medium
37,2,Tue,10:30-12:00,Strategies,13,Implement GET /api/v1/strategies,TODO,StrategyPanel.tsx needs list of available strategies,internal/api/handlers/strategies/strategies.go,Return list of strategy names. Include enabled status from user_strategies table.,Step 15,90,Easy
38,2,Tue,13:00-14:30,Strategies,13,Implement PUT /api/v1/user/strategies/{name},TODO,User needs to enable/disable strategies,internal/api/handlers/strategies/strategies.go,Upsert into user_strategies with IsEnabled and Parameters JSON. Return updated config.,Step 37,90,Medium
39,2,Tue,14:30-16:00,Strategies,39,Implement POST /api/v1/strategies/{name}/start and /stop,TODO,StrategyPanel start/stop buttons,internal/api/handlers/strategies/strategies.go,start: set IsEnabled=true. stop: set IsEnabled=false and signal goroutine to stop.,Step 38,90,Hard
40,2,Tue,16:00-17:00,Strategies,40,Implement GET /api/v1/signals,TODO,StrategyPanel signal feed,internal/api/handlers/strategies/signals.go,Query signals table or Redis cache. Return latest N signals per strategy.,Step 39,60,Medium
41,2,Wed,09:00-10:30,Realtime,30,Implement WS topic: signals,TODO,StrategyPanel.tsx live signal stream,internal/realtime/topics.go,Call hub.Broadcast(topicSignals) whenever a new signal is generated by strategy runner.,Step 34 + Step 40,90,Medium
42,2,Wed,10:30-12:00,Backtest,14,Implement POST /api/v1/backtests,TODO,Submit async backtest job,internal/api/handlers/backtest/backtest.go,Decode strategy + date range + params. Insert into backtest_jobs with status PENDING. Launch goroutine. Return job ID.,Step 8,90,Hard
