"TaskID","Week","WeekLabel","Phase","Priority","Status","Category","Title","Description","Files","DependsOn","EstimatedHours","Notes"
"FIX-001","2","P0 Crash Fixes","P0","Critical","TODO","TickBus","Make InProcessTickBus.Publish non-blocking with drop counter","CRASH CAUSE. InProcessTickBus.Publish iterates all subscriber channels and blocks on `case ch <- tick` when any subscriber channel is full. Under simulationSpeedMultiplier>=8 the CandleGenerator subscriber falls behind (9-interval processing under engine lock) causing the channel to fill in seconds. Publisher blocks, goroutines stack, OOM crash.\n\nFIX: Replace the blocking select with a non-blocking select + default drop:\n  select {\n  case ch <- tick:\n  default:\n      atomic.AddUint64(&b.droppedTicks, 1)\n      // optional: log at WARN once per second via rate-limiter\n  }\n\nAlso fix the RLock-while-blocking issue: copy the subscribers slice under RLock first, release the lock, THEN iterate and send. This prevents Subscribe() from deadlocking while Publish() is stalled.\n\nAdd `droppedTicks uint64` field to InProcessTickBus. Expose via a Stats() method. Hook into the existing monitoring log every 5s.","internal/marketdata/tickbus/inprocess.go","","3","Root cause of all high-speed simulation crashes. Fix this first."
"FIX-002","2","P0 Crash Fixes","P0","Critical","TODO","CandleEngine","Remove duplicate StartCandleDBWriter goroutine launch from app.go","DOUBLE GOROUTINE BUG. Two goroutines drain the same `candleDBFlushCh`:\n  1. app.go:135  – `candle_db_writer` service calls go app.CandleGenerator.StartCandleDBWriter(ctx)\n  2. candles.go:217 – StartCandleGeneration() internally calls go cg.StartCandleDBWriter(ctx)\n\nThis causes non-deterministic batch splitting, incomplete OHLCV DB writes, and possible GORM CreateInBatches panic with empty batch.\n\nFIX: Delete the entire `candle_db_writer` serviceAdapter block from app.go (lines 130-137). The internal call inside StartCandleGeneration is the single correct launch point.\n\nAlso delete the commented-out stop func for candle_generator (lines 142-144) and wire it properly:\n  stop: func(ctx context.Context) error {\n      return app.CandleGenerator.Stop(ctx)\n  }","internal/app/app.go | internal/data/candles.go","","1","One-line fix but critical. Causes data corruption in candle DB."
"FIX-003","2","P0 Crash Fixes","P0","Critical","TODO","TickBus","Fix RedisTickBus.Publish nil panic on ctx.Value type assertion","PANIC. internal/marketdata/tickbus/redis.go line 31:\n  ProcessedAtNanos: ctx.Value(\"processed_at_nanos\").(int64)\n\nThis is an unchecked type assertion on a string-keyed context value. No caller (ticker.go uses context.Background(), simulator has no such value) ever injects this key. At runtime the assertion panics:\n  `interface conversion: interface {} is nil, not int64`\n\nFIX STEPS:\n1. Define a typed context key to prevent string collisions:\n   type ctxKey int\n   const processedAtNanosKey ctxKey = iota\n\n2. Replace the assertion with a safe fallback:\n   var nanos int64\n   if v, ok := ctx.Value(processedAtNanosKey).(int64); ok {\n       nanos = v\n   } else {\n       nanos = time.Now().UnixNano()\n   }\n\n3. Export ProcessedAtNanosKey so callers can inject it optionally.\n4. Update ticker.go to pass app ctx instead of context.Background().","internal/marketdata/tickbus/redis.go | internal/api/ticker.go","","2","Kills process on first tick in dual/redis TickBus mode."
"FIX-004","2","P0 Crash Fixes","P0","Critical","TODO","CandleEngine","Move OnFinalize callback outside engine global lock","THROUGHPUT BOTTLENECK + DEADLOCK RISK. CandleEngine.finalizeCandleLocked calls cfg.OnFinalize(candle) while holding e.mu.Lock(). OnFinalize (handleFinalizedCandle) then:\n  a) sends to candleDBFlushCh (non-blocking, OK)\n  b) sends to indicatorManagerInputCh (non-blocking, OK)\n  c) calls broadcastCandle() which calls candleWsClients.Range() with per-client channel sends\n\nThe entire WS broadcast runs under the engine lock. Under high-speed simulation with 9 intervals × N instruments, the engine is stalled for the broadcast duration on every candle finalization.\n\nFIX:\n1. In finalizeCandleLocked, copy the OpenCandle value to the stack (or take ownership of the pointer) then release e.mu before calling OnFinalize:\n   candleCopy := *candle  // copy while locked\n   e.mu.Unlock()\n   e.cfg.OnFinalize(&candleCopy)\n   e.mu.Lock()  // re-acquire if loop needs it\n\n2. Better approach: queue finalized candles to a dedicated `finalizeQueue chan *OpenCandle` and process callbacks in a separate goroutine. This fully decouples the engine tick loop from I/O.\n\n3. Ensure OpenCandle.mu is not held across the callback boundary.","internal/marketdata/candles/candle_engine.go | internal/data/candles.go","FIX-001","4","Resolves the main throughput bottleneck at high simulation speed."
"FIX-005","2","P0 Crash Fixes","P0","Critical","TODO","Zerodha","Pass application context into SubscribeToTicks and SimulateTicks","GOROUTINE LEAK. ticker.go line 115 uses context.Background() inside the OnTick callback. When the application shuts down and the app context is cancelled, the live ticker goroutine keeps publishing indefinitely. If the TickBus channel is full, it blocks forever.\n\nFIX FOR ticker.go:\n  - Add `ctx context.Context` as first param to SubscribeToTicks\n  - Capture ctx in the OnTick closure: tb.Publish(ctx, normalized)\n  - This allows Publish to respect context cancellation\n\nFIX FOR simulated_ticker.go:\n  - ctx is already passed correctly to SimulateTicks ✓\n  - But Publish is called with the same outer ctx — verify the inner `select { case <-ctx.Done() }` in Publish returns correctly\n\nFIX FOR reconnect goroutine (ticker.go:97-151):\n  - The reconnect goroutine has `for { time.Sleep(backoff); ... return }` — the `return` after 5s means it always exits the loop after one attempt, regardless of success. If the reconnect fails, no further retry happens.\n  - Rewrite: loop on success confirmation (check newTicker state), respect ctx.Done() in the wait loop, cap retry count.\n\nUPDATE app.go startRealFeed to pass ctx into SubscribeToTicks.","internal/api/ticker.go | internal/app/app.go","FIX-003","3","Also fixes goroutine accumulation during reconnect storms."
"FIX-006","2","P0 Crash Fixes","P0","High","TODO","Monitoring","Fix StartSystemMonitor goroutine leak — add context cancellation","GOROUTINE LEAK. internal/execution/monitor.go: StartSystemMonitor starts an inner goroutine with `go func() { for { ... time.Sleep(interval) } }()`. There is no context, no stop channel, no exit condition.\n\nAdditionally the function wraps itself in yet another goroutine internally (double goroutine nesting), making it impossible to track.\n\nFIX:\n1. Change signature: func StartSystemMonitor(ctx context.Context, interval time.Duration, alertFunc func(string))\n2. Replace time.Sleep with time.NewTicker + select:\n   ticker := time.NewTicker(interval)\n   defer ticker.Stop()\n   for {\n       select {\n       case <-ticker.C: // do stats\n       case <-ctx.Done(): return\n       }\n   }\n3. Remove the redundant inner goroutine — StartSystemMonitor itself should be called in a goroutine by the caller (app.go already does this)\n4. Update app.go serviceAdapter to pass ctx:\n   go monitor.StartSystemMonitor(ctx, 5*time.Second, alertFunc)","internal/execution/monitor.go | internal/app/app.go","","2","Low effort, high cleanliness. Goroutine count grows with each restart."
"FIX-007","2","P0 Crash Fixes","P0","High","TODO","WebSocket","Fix ServeHeatmap inner drain goroutine — no stop signal","GOROUTINE LEAK. internal/realtime/hub.go ServeHeatmap launches:\n  go func() {\n      for { if _, _, err := conn.ReadMessage(); err != nil { return } }\n  }()\n\nThis drain goroutine has no context, no stop signal. If the outer ServeHeatmap handler returns (e.g., ctx.Done() fires) but the connection is not yet closed, the drain goroutine blocks indefinitely on ReadMessage.\n\nFIX:\n  go func() {\n      for {\n          if _, _, err := conn.ReadMessage(); err != nil {\n              return\n          }\n          select {\n          case <-ctx.Done(): return\n          default:\n          }\n      }\n  }()\n\nAlso: ensure conn.Close() is called in the deferred cleanup and that heatmapClients.Delete(conn) runs even if the goroutine panics.","internal/realtime/hub.go","","1","Simple fix. Goroutines pile up on repeated connect/disconnect."
"CANDLE-006","3","Candle Correctness","P1","Critical","TODO","CandleEngine","Fix candle volume: use tick.Volume delta instead of LastTradedQuantity","WRONG VOLUME IN ALL 9 TIMEFRAMES. candle_engine.go lines 153 and 169:\n  Volume: float64(tick.LastTradedQuantity)  // open\n  candle.Volume += float64(tick.LastTradedQuantity)  // update\n\nLastTradedQuantity is the size of the last individual trade (e.g. 50 shares). Accumulating it inflates volume on duplicate ticks and is not the canonical candle volume metric.\n\nThe correct approach uses tick.Volume (cumulative day volume from exchange):\n  candleVolume[token] = tick.Volume - prevVolume[token]\n\nFIX STEPS:\n1. Add to CandleEngine struct:\n   lastVolume map[uint32]uint32  // token -> last known cumulative volume\n\n2. In ProcessTick, compute delta before updating candles:\n   delta := uint32(0)\n   if prev, ok := e.lastVolume[token]; ok && tick.Volume >= prev {\n       delta = tick.Volume - prev\n   } else {\n       delta = tick.LastTradedQuantity  // fallback for first tick or OI reset\n   }\n   e.lastVolume[token] = tick.Volume\n\n3. Replace all Volume references in the new-candle and update-candle paths with float64(delta).\n\n4. On market open (day rollover), reset lastVolume[token] = 0.\n\n5. Write unit test: feed 3 ticks with Volume=1000, 1500, 2200 → 1m candle volume should be 1200 (2200-1000).","internal/marketdata/candles/candle_engine.go | internal/marketdata/candles/open_candle.go","FIX-004","4","All 9 timeframe candle volumes are currently wrong. Affects all indicators using volume (OBV, VWAP, ATR)."
"CANDLE-007","3","Candle Correctness","P1","Critical","TODO","CandleEngine","Fix simulation-mode candle bucket alignment — use market-open-relative bucketing","WRONG BUCKET BOUNDARIES IN SIMULATION. getCandleStartTime in SimulationMode returns t.Truncate(interval) which truncates relative to Unix epoch (UTC). For a 5-minute candle at 11:03:47 IST, this produces the 11:00:00 UTC bucket instead of the 11:00:00 IST market-session-relative bucket.\n\nAdditionally, simulated EventTime is always time.Now() (wall clock). At 8x speed candles are generated in 1/8 real time, making bucket boundaries depend on when the test started, not on the simulated session.\n\nFIX:\n1. Remove the SimulationMode branch from getCandleStartTime that uses t.Truncate(interval). Instead, always use the market-open-relative bucketing logic (the live-mode path) regardless of SimulationMode.\n\n2. The SimulationMode flag should ONLY control:\n   a) Whether to skip the isMarketOpen check (ticks arrive at any wall time)\n   b) Whether to use tick.EventTime as-is (already done)\n   Not how buckets are computed.\n\n3. For the daily candle case in SimulationMode, anchor to the simulated market open of the tick's date rather than midnight UTC:\n   return time.Date(t.Year(), t.Month(), t.Day(), 9, 15, 0, 0, e.cfg.Timezone)\n\n4. Write a table-driven unit test verifying all 9 intervals produce correct buckets for ticks arriving at 9:15:00, 9:16:43, 10:00:01, 15:29:59, 15:30:00 in both live and simulation mode.","internal/marketdata/candles/candle_engine.go","CANDLE-006","3","Also fixes AUD-009 from audit. All simulation candle times are currently wrong."
"CANDLE-008","3","Candle Correctness","P1","High","TODO","CandleEngine","Add out-of-order and duplicate tick protection in CandleEngine.ProcessTick","NO LATE TICK HANDLING. If a tick arrives with EventTime before the current open candle's StartTime, the engine computes a bucket in the past, finds `!candle.StartTime.Equal(startTime)` = true, finalizes the current (live) candle, and opens a new candle in the past. This corrupts the candle series.\n\nFIX — Late tick detection:\n  if exists && startTime.Before(candle.StartTime) {\n      atomic.AddUint64(&e.lateTicksDropped, 1)\n      zap.L().Warn(\"Late tick dropped\",\n          zap.Uint32(\"token\", token),\n          zap.Time(\"tick_time\", tickTime),\n          zap.Time(\"candle_start\", candle.StartTime),\n          zap.Duration(\"latency\", candle.StartTime.Sub(tickTime)))\n      continue\n  }\n\nFIX — Duplicate tick detection:\n  Track lastTickTime per token+interval. If tick.EventTime == lastTickTime AND tick.LastPrice == candle.Close AND tick.LastTradedQuantity == lastQty, skip (heartbeat duplicate).\n\nFIX — isMarketOpen boundary (AUD-011):\n  Change line 177 from `marketTime.After(open)` to `!marketTime.Before(open)` so the exact 9:15:00 tick is accepted.\n\nAdd metrics: lateTicksDropped, duplicateTicksDropped uint64.","internal/marketdata/candles/candle_engine.go","CANDLE-007","4","Fixes AUD-011 and AUD-012 from audit. Required for correct backtesting."
