TaskID,Priority,Severity,Phase,Subsystem,Title,Description,PrimaryFiles,EstimatedEffort,DependsOn,Status
AUD-001,P0,Critical,P0,Security,Remove weak JWT secret fallback,"Fail startup if JWT_SECRET is missing or weak; remove default secret fallback from auth runtime.","internal/auth/jwt.go; cmd/server/main.go","0.5-1 day","None","DONE"
AUD-002,P0,Critical,P0,Security,Fix refresh token revocation gap,"Check refresh-token blocklist during refresh and prepare for jti/session-based rotation.","internal/api/handlers/auth/refresh.go; internal/api/handlers/auth/logout.go; internal/middleware/auth.go","0.5-1 day","AUD-001","DONE"
AUD-003,P0,Critical,P0,BrokerAuth,Remove global plaintext broker token flow,"Retire .access_token live runtime dependency and remove hardcoded request token flow.","cmd/server/main.go; cmd/get-token/get_token.go; internal/api/zerodha.go","1-2 days","None","TODO"
AUD-004,P0,High,P0,Build,Move server test helpers out of production build,"Move SQLite/testing helpers to _test.go or internal/testutil so server build graph stays production-only.","internal/server/test_helpers.go","0.5 day","None","TODO"
AUD-005,P0,Critical,P0,Database,Remove destructive market_data migration pattern,"Replace DROP TABLE behavior with forward-only production-safe migration logic.","internal/db/migrations/000004_create_market_data_table.up.sql","0.5-1 day","None","TODO"
AUD-006,P1,Critical,P1,Runtime,Introduce App and RuntimeManager,"Create explicit application bootstrap and service lifecycle manager with start/stop/status ownership.","cmd/server/main.go; internal/app/*; internal/runtime/*","2-4 days","AUD-001; AUD-004","TODO"
AUD-007,P1,Critical,P1,Runtime,Eliminate server package globals,"Replace Set* global dependency injection in server package with constructor-based dependency structs.","internal/server/routes.go; internal/server/runtime_state.go; internal/server/api_v1.go","2-4 days","AUD-006","TODO"
AUD-008,P1,High,P1,Architecture,Split overloaded server package,"Separate HTTP API, realtime transport, and runtime composition responsibilities.","internal/server/*","2-3 days","AUD-007","TODO"
AUD-009,P2,Critical,P2,MarketData,Define canonical normalized tick event model,"Separate event_time and ingested_at, decide canonical stored tick shape, and reduce ambiguity in raw event truth.","internal/data/ingest.go; internal/db/models.go","2-3 days","AUD-006","TODO"
AUD-010,P2,Critical,P2,MarketData,Fix ingest channel ownership and loss semantics,"Make service owner close channels and stop silently dropping authoritative tick batches under pressure.","internal/data/ingest.go","2-3 days","AUD-006; AUD-009","TODO"
AUD-011,P2,Critical,P2,Candles,Redesign candle bucket alignment and finalization,"Use session-relative event-time alignment and decouple candle close from next tick arrival.","internal/data/candels.go","3-5 days","AUD-009","TODO"
AUD-012,P2,Critical,P2,Candles,Separate open candle state from finalized candle persistence,"Ensure incomplete candles are never stored as final trading truth.","internal/data/candels.go; internal/db/models.go; internal/db/migrations/000011_create_indicators.up.sql","2-3 days","AUD-011","TODO"
AUD-013,P2,Critical,P2,Recovery,Implement ReplayManager,"Rebuild candles deterministically from persisted ticks after restart or recovery.","internal/data/ingest.go; internal/data/candels.go; new internal/marketdata/replay/*","3-5 days","AUD-009; AUD-010; AUD-011","TODO"
AUD-014,P2,High,P2,MarketData,Add late and out-of-order tick policy,"Detect, classify, and repair or quarantine late ticks for finalized buckets.","internal/data/candels.go; internal/data/ingest.go","2-4 days","AUD-013","TODO"
AUD-015,P3,Critical,P3,Indicators,Replace full-history recalculation with incremental state,"Maintain per-indicator rolling state and remove goroutine-per-indicator pattern.","internal/data/indicators_manager.go; internal/indicators/*","4-6 days","AUD-011; AUD-012","TODO"
AUD-016,P3,High,P3,Indicators,Optimize indicator warm-start hydration,"Load only bounded recent finalized candles per token/interval and validate continuity.","internal/data/indicators_manager.go","1-2 days","AUD-012","TODO"
AUD-017,P3,High,P3,Indicators,Separate indicator engine persistence and broadcast,"Do not broadcast authoritative indicator updates before persistence semantics are defined.","internal/data/indicators_manager.go","2-3 days","AUD-015","TODO"
AUD-018,P4,Critical,P4,Realtime,Build authenticated unified websocket hub,"Create one websocket entrypoint with topic subscriptions, auth, and per-client queue policies.","internal/realtime/*; internal/contracts/websocket.go; internal/server/routes.go","4-6 days","AUD-007","TODO"
AUD-019,P4,High,P4,Realtime,Retire ad hoc websocket endpoints,"Replace /ws, /ws/candles, /ws/indicators, and /ws/heatmap with unified typed event fanout.","internal/server/routes.go; internal/server/broadcast.go; internal/data/ingest.go; internal/data/candels.go; internal/data/indicators_manager.go","2-4 days","AUD-018","TODO"
AUD-020,P4,High,P4,Contracts,Adopt shared websocket envelope everywhere,"Ensure all realtime messages use contracts.WSEvent with consistent topic and event IDs.","internal/contracts/websocket.go; internal/data/*; internal/realtime/*","1-2 days","AUD-018","TODO"
AUD-021,P5,Critical,P5,Broker,Introduce broker adapter abstraction,"Define broker-agnostic provider interfaces and isolate Zerodha-specific session logic.","internal/broker/*; internal/api/zerodha.go","2-4 days","AUD-003; AUD-006","TODO"
AUD-022,P5,Critical,P5,Broker,Implement per-user broker connect callback disconnect flows,"Use encrypted tokens in user_broker_accounts and bind all broker state to user and account identity.","internal/api/handlers/broker/*; internal/db/models.go; internal/security/encryption.go","4-6 days","AUD-021","TODO"
AUD-023,P5,High,P5,Security,Write audit events for auth and broker actions,"Start using audit_events table for login, logout, refresh, connect, callback, and disconnect flows.","internal/api/handlers/auth/*; internal/api/handlers/broker/*; internal/db/extended_models.go","2-3 days","AUD-002; AUD-022","TODO"
AUD-024,P6,Critical,P6,Strategy,Create strategy runtime core,"Add strategy registry, runner, parameter loading, and event-driven strategy interface.","internal/strategy/*; internal/services/*","4-6 days","AUD-013; AUD-015; AUD-021","TODO"
AUD-025,P6,Critical,P6,Risk,Create risk service and kill switch,"Enforce daily loss, quantity, market-open, live-mode guardrails, and global/user kill switches.","new internal/risk/*; internal/server/api_v1.go","3-5 days","AUD-024","TODO"
AUD-026,P6,Critical,P6,Execution,Create execution service with idempotency,"Accept TradeIntent, require risk approval, persist lifecycle, and separate paper vs live adapters.","internal/execution/*; internal/db/models.go; docs/openapi.yaml","4-6 days","AUD-021; AUD-025","TODO"
AUD-027,P6,High,P6,PnL,Create PnL service,"Implement realized and unrealized PnL, per-user and per-strategy attribution, and mark-to-market updates.","internal/db/models.go; new internal/pnl/*","3-5 days","AUD-026","TODO"
AUD-028,P7,High,P7,PaperTrading,Implement paper broker and paper-trading mode,"Use same strategy and execution pipeline with simulated fills, fees, and slippage.","new internal/execution/paper/*; internal/db/extended_models.go","3-5 days","AUD-026; AUD-027","TODO"
AUD-029,P8,High,P8,Backtest,Implement backtest service and command,"Reuse strategy runtime and paper execution path for offline backtests and stored job results.","cmd/backtest/backtest.go; internal/backtest/*; internal/db/extended_models.go","4-6 days","AUD-024; AUD-028","TODO"
AUD-030,P9,High,P9,API,Centralize REST response helpers and validation errors,"Use one response writer path and make validation return contracts.ErrorResponse consistently.","internal/server/api_v1.go; internal/api/handlers/auth/helpers.go; internal/api/handlers/profile/me.go; internal/validation/validate.go","1-2 days","AUD-007","TODO"
AUD-031,P9,High,P9,API,Reconcile OpenAPI with actual implementation,"Make one source-of-truth spec and mark planned endpoints separately from implemented ones.","docs/openapi.yaml; internal/server/api_v1.go","2-3 days","AUD-030","TODO"
AUD-032,P10,Medium,P10,Cleanup,Rename and simplify misleading files and packages,"Rename candels.go, rename monitor package under execution, and reduce misleading placeholder surface area.","internal/data/candels.go; internal/execution/order.go; internal/execution/monitor.go","1-2 days","AUD-006","TODO"
AUD-033,P10,Medium,P10,Cleanup,Prune placeholder-only packages and dead commented code,"Collapse doc-only packages where implementation has not started and archive or delete commented-out news pipeline.","internal/strategy/*; internal/model/inference.go; internal/model/trainer.go; internal/data/news_pipeline.go; internal/api/handlers/*","2-4 days","AUD-032","TODO"
AUD-034,P11,High,P11,Hardening,Apply auth and API rate limits","Use existing limiter on auth and later on sensitive runtime and broker routes.","internal/middleware/ratelimit.go; internal/server/api_v1.go","1-2 days","AUD-001; AUD-002","TODO"
AUD-035,P11,High,P11,Hardening,Add secure Redis and Postgres transport options,"Make SSL/TLS and secure connection options configurable and validated at boot.","internal/cache/redis.go; internal/db/postgres.go; internal/utils/config.go","1-2 days","AUD-006","TODO"
AUD-036,P11,High,P11,Observability,Add real operational metrics and queue-depth visibility,"Track drops, queue depths, replay lag, service readiness, and execution/risk outcomes.","internal/data/*; internal/server/*; new internal/telemetry/*","2-4 days","AUD-006; AUD-010; AUD-018","TODO"
AUD-037,P12,Medium,P12,ML,Create model registry and inference activation controls,"Separate model metadata, active versions, and safe inference consumption from runtime internals.","internal/model/*; internal/api/handlers/models/*; internal/db/extended_models.go","3-5 days","AUD-024; AUD-031","TODO"
AUD-038,P12,Medium,P12,RL,Prepare RL-safe replay environment,"Only after deterministic replay and paper execution exist, define environment state, rewards, and action logs for PPO/A3C experimentation.","new internal/models/rl/*; internal/backtest/*; internal/pnl/*","5-10 days","AUD-013; AUD-028; AUD-029; AUD-037","TODO"
