TaskID,Week,WeekLabel,Phase,Priority,Status,Category,Title,Description,Files,DependsOn,EstimatedHours,Notes
AUD-003,1,Security & DB Migrations,P0,Critical,DONE,Security,Remove global plaintext broker token flow,Delete .access_token file read from main.go. Remove hardcoded requestToken. Make NewKiteClient accept token param.,cmd/server/main.go | cmd/get-token/get_token.go | internal/api/zerodha.go,None,8,Source: TradingBot_Base_Build_Tickets.docx | Global token flow removed
AUD-004,1,Security & DB Migrations,P0,Critical,DONE,Security,Move server test helpers out of production build,Rename test_helpers.go to test_helpers_test.go or move to internal/testutil/.,internal/server/test_helpers.go | internal/testutil/helpers.go,None,4,Source: TradingBot_Base_Build_Tickets.docx
AUD-005,1,Security & DB Migrations,P0,Critical,DONE,Database,Remove destructive DROP TABLE from migration 000004,Replace DROP TABLE IF EXISTS with CREATE TABLE IF NOT EXISTS in migration 000004.,internal/db/migrations/000004_create_market_data_table.up.sql,None,2,Source: TradingBot_Base_Build_Tickets.docx
INF-001,1,Security & DB Migrations,P0,Critical,DONE,Database,Create initial migration users table,Create users table with bcrypt password hash and soft delete.,internal/db/migrations/000001_create_users_table.up.sql,None,1,Users table migration created
INF-002,1,Security & DB Migrations,P0,Critical,DONE,Database,Create user_broker_accounts table,Store encrypted broker tokens per user.,internal/db/migrations/000002_create_user_broker_accounts_table.up.sql,INF-001,1,User broker accounts table
INF-003,1,Security & DB Migrations,P0,Critical,DONE,Database,Create instruments table,Store tradable instruments master data.,internal/db/migrations/000003_create_instruments_table.up.sql,INF-001,1,Instruments table migration
INF-004,1,Security & DB Migrations,P0,Critical,DONE,Database,Create market_data hypertable,Tick data storage with TimescaleDB.,internal/db/migrations/000004_create_market_data_table.up.sql,INF-003,2,
INF-005,1,Security & DB Migrations,P0,Critical,DONE,Database,Create orders table,Track user orders.,internal/db/migrations/000005_create_orders_table.up.sql,"INF-001,INF-003",1,
INF-006,1,Security & DB Migrations,P0,Critical,DONE,Database,Create trades table,Record completed trades.,internal/db/migrations/000006_create_trades_table.up.sql,INF-005,1,
INF-007,1,Security & DB Migrations,P0,Critical,DONE,Database,Create positions table,Track open positions per user.,internal/db/migrations/000007_create_positions_table.up.sql,"INF-001,INF-003",1,
INF-011,1,Security & DB Migrations,P0,Critical,DONE,Database,Create indicators tables,11 tables for SMA EMA RSI MACD ATR etc.,internal/db/migrations/000011_create_indicators.up.sql,INF-003,3,
INF-017,1,Security & DB Migrations,P0,Critical,DONE,Security,Implement JWT generation,HS256 access/refresh tokens.,internal/auth/jwt.go,None,2,JWT generation implemented with HS256
INF-018,1,Security & DB Migrations,P0,Critical,DONE,Security,Implement JWT validation middleware,Parse and validate Bearer tokens.,internal/middleware/auth.go,INF-017,2,JWT validation middleware working
INF-019,1,Security & DB Migrations,P0,Critical,DONE,Security,Implement POST /api/v1/auth/signup,User registration with bcrypt.,internal/api/handlers/auth/signup.go,INF-017,2,Signup handler implemented
INF-020,1,Security & DB Migrations,P0,Critical,DONE,Security,Implement POST /api/v1/auth/login,User login with token response.,internal/api/handlers/auth/login.go,INF-017,2,Login handler implemented
INF-021,1,Security & DB Migrations,P0,Critical,DONE,Security,Implement POST /api/v1/auth/refresh,Rotate refresh token.,internal/api/handlers/auth/refresh.go,INF-017,2,Refresh token handler implemented
INF-022,1,Security & DB Migrations,P0,Critical,DONE,Security,Implement POST /api/v1/auth/logout,Blacklist tokens in Redis.,internal/api/handlers/auth/logout.go,INF-017,1,Logout handler implemented
