Type,Category,Method/Topic,Endpoint/Topic Name,Purpose,Status
REST API,Auth,POST,/api/v1/auth/signup,User registration,Done
REST API,Auth,POST,/api/v1/auth/login,Login - returns JWT,Done
REST API,Auth,POST,/api/v1/auth/refresh,Rotate refresh token,Done
REST API,Auth,POST,/api/v1/auth/logout,Blacklist token in Redis,Done
REST API,Broker,POST,/api/v1/brokers/zerodha/connect,Initiate OAuth,
REST API,Broker,GET,/api/v1/brokers/zerodha/callback,Exchange request_token for encrypted access_token,
REST API,Broker,POST,/api/v1/brokers/zerodha/disconnect,Deactivate broker session,
REST API,Market Data,GET,/api/v1/candles,Historical OHLCV candles,
REST API,Market Data,GET,/api/v1/indicators,Historical indicator values,
REST API,Market Data,GET,/api/v1/market/heatmap,Market heatmap snapshot,
REST API,Market Data,GET,/api/v1/instruments/search,Search instruments by symbol,
REST API,Market Data,GET,/api/v1/instruments/{token},Get instrument by token,
REST API,Orders & Trades,POST,/api/v1/orders,Place order,
REST API,Orders & Trades,GET,/api/v1/orders,Order history,
REST API,Orders & Trades,PUT,/api/v1/orders/{id},Modify open order,
REST API,Orders & Trades,DELETE,/api/v1/orders/{id},Cancel order,
REST API,Orders & Trades,GET,/api/v1/trades,Trade history,
REST API,Orders & Trades,POST,/api/v1/gtt,Create GTT order,
REST API,Orders & Trades,GET,/api/v1/gtt,List GTT orders,
REST API,Positions,GET,/api/v1/positions,Current open positions,
REST API,Strategies,POST,/api/v1/strategies,Save strategy,
REST API,Strategies,GET,/api/v1/strategies,List user strategies,
REST API,Strategies,GET,/api/v1/strategies/{id},Get specific strategy,
REST API,Strategies,PUT,/api/v1/strategies/{id},Update strategy,
REST API,Strategies,DELETE,/api/v1/strategies/{id},Delete strategy,
REST API,Strategies,GET,/api/v1/strategies/schema,Return JSON schema for UI builder,
REST API,Strategies,POST,/api/v1/strategies/{id}/activate,Activate strategy for live trading,
REST API,Strategies,PUT,/api/v1/user/strategies/{name},Upsert strategy config,
REST API,Strategies,POST,/api/v1/strategies/{name}/start,Enable strategy,
REST API,Strategies,POST,/api/v1/strategies/{name}/stop,Disable strategy,
REST API,Strategies,GET,/api/v1/signals,Latest N signals per strategy,
REST API,Backtests,GET,/api/v1/backtests/{id},Get backtest job status and results,
REST API,Settings,GET,/api/v1/settings,Load all user settings,Done
REST API,Settings,PUT,/api/v1/settings,Save all settings,Done
REST API,Settings,PATCH,/api/v1/settings/{section},Save single settings section,
REST API,Settings,POST,/api/v1/settings/test,Test notification or validate config section,
REST API,Watchlists,GET,/api/v1/watchlists/default,Get default watchlist,
REST API,Watchlists,POST,/api/v1/watchlists/items,Add symbol to watchlist,
REST API,Watchlists,POST,/api/v1/watchlists/default/items,Add symbol with instrument token validation,
REST API,Watchlists,DELETE,/api/v1/watchlists/items/{id},Remove symbol from watchlist,
REST API,Notifications,POST,/api/v1/notifications/test,Send test notification,
REST API,Notifications,GET,/api/v1/notifications/history,Notification delivery log,
REST API,Runtime,GET,/api/v1/runtime/config,Non-secret runtime config,Done
REST API,Runtime,GET,/api/v1/runtime/metrics,WS connection count + DB latency,Done
WebSocket,Unified Hub,CONNECT,/ws/v1/dashboard,Single authenticated hub — JWT required on upgrade,
WebSocket,Market,SUBSCRIBE,market.ticks,Real-time price ticks from Zerodha,
WebSocket,Market,SUBSCRIBE,market.candles,Finalized OHLCV candles (1m/5m/15m),
WebSocket,Market,SUBSCRIBE,market.indicators,RSI / MACD / EMA etc. updates,
WebSocket,Market,SUBSCRIBE,market.heatmap,Market heatmap updates,
WebSocket,Trading,SUBSCRIBE,orders,Order status changes,
WebSocket,Trading,SUBSCRIBE,positions,Position updates,
WebSocket,Strategy,SUBSCRIBE,signals,Strategy signal emissions,
WebSocket,Risk,SUBSCRIBE,alerts,Risk limit hits and order monitor alerts,
WebSocket,AI,SUBSCRIBE,sentiment,News sentiment scores (FinBERT),
WebSocket,Backtest,SUBSCRIBE,backtests/{id},Per-backtest progress stream,
WebSocket,AI,SUBSCRIBE,models,AI model retraining progress,
User Setting,Broker / Account,,,Zerodha API key and secret (AES-GCM encrypted),
User Setting,Broker / Account,,,OAuth connection status,
User Setting,Broker / Account,,,Active broker toggle (Zerodha vs Paper),
User Setting,Trading Mode,,,Live vs Paper trading toggle,
User Setting,Trading Mode,,,Live trade acknowledgement guard (manual confirm before first live trade),
User Setting,Risk Controls,,,Daily loss limit (default 2%),
User Setting,Risk Controls,,,Max position size per trade (default 5%),
User Setting,Risk Controls,,,Portfolio heat limit (default 15%),
User Setting,Risk Controls,,,Drawdown circuit breaker threshold (default >5%),
User Setting,Risk Controls,,,Kill switch — manual emergency halt,
User Setting,Risk Controls,,,AI confidence sizing threshold,
User Setting,Risk Controls,,,ATR-based dynamic stop loss multiplier,
User Setting,Strategies,,,Per-strategy enable/disable,
User Setting,Strategies,,,Strategy parameters (JSON per strategy),
User Setting,Strategies,,,Active strategy list,
User Setting,Notifications,,,Telegram bot token and chat ID,
User Setting,Notifications,,,WhatsApp integration config,
User Setting,Notifications,,,Alert triggers: trade execution / PnL threshold / error events,
User Setting,Notifications,,,Test notification send,
User Setting,AI / Models,,,Direction model confidence threshold,
User Setting,AI / Models,,,Sentiment model enable/disable,
User Setting,AI / Models,,,Regime detection enable/disable,
User Setting,Watchlist,,,Default watchlist symbols,
User Setting,UI / Display,,,Default chart interval (1m / 5m / 15m),
User Setting,UI / Display,,,Dashboard layout preferences,
User Setting,Security / Sessions,,,Active session list and revoke (planned),
User Setting,Security / Sessions,,,TOTP / MFA enable (planned pre-launch),
