ID,Category,Priority,Status,Title,Description,File/Location,Notes
1,Pending Task,Critical,DONE,Implement auth middleware on all HTTP routes,No authentication on any HTTP or WebSocket route. All endpoints were publicly accessible.,internal/middleware/auth.go,Authenticate middleware parses Bearer JWT + checks Redis blocklist + stores userID in context; protected subrouter applied in api_v1.go
2,Pending Task,Critical,DONE,Implement JWT auth - POST /api/v1/auth/signup,User signup endpoint with bcrypt password hashing + email validation,internal/api/handlers/auth/signup.go,bcrypt cost 12 + validation + token pair returned on 201
3,Pending Task,Critical,DONE,Implement JWT auth - POST /api/v1/auth/login,Login with bcrypt compare + IsActive check + generic error to prevent email enumeration,internal/api/handlers/auth/login.go,bcrypt compare + IsActive check + token pair + generic error message
4,Pending Task,Critical,DONE,Implement JWT auth - POST /api/v1/auth/refresh,Refresh token rotation endpoint,internal/api/handlers/auth/refresh.go,Validates refresh token type + issues new rotated access+refresh pair
5,Pending Task,Critical,DONE,Implement JWT auth - POST /api/v1/auth/logout,Session invalidation via Redis blocklist,internal/api/handlers/auth/logout.go,Writes refresh token to Redis blocklist with remaining TTL + returns 204
6,Pending Task,Critical,DONE,Implement GET /api/v1/me (user profile),Protected profile endpoint to replace public /api/data/users,internal/api/handlers/profile/me.go,Reads userID from context + queries User by PK + returns meResponse (no PasswordHash)
7,Pending Task,High,DONE,Implement GET /api/v1/health,Full health check with DB + Redis + Zerodha dependency status + uptime + mode,internal/server/api_v1.go,Implemented in api_v1.go — pings DB and Redis + returns uptime + mode + dependency status
8,Pending Task,High,TODO,Implement GET /api/v1/settings and PUT /api/v1/settings,Per-user settings API with secret encryption and redaction,internal/api/handlers/settings/,Frontend Settings.tsx is ready with backend payload shape. Migration 000012 exists.
9,Pending Task,High,PARTIAL,Implement Zerodha broker APIs,GET status done. POST connect / GET callback / POST disconnect still TODO.,internal/api/handlers/broker/,GET /api/v1/brokers/zerodha/status implemented in api_v1.go. OAuth flow pending.
10,Pending Task,High,TODO,Implement GET /api/v1/watchlists/default and POST items,Watchlist CRUD backed by DB,internal/api/handlers/watchlist/,Migration 000013 exists. No handler yet.
11,Pending Task,High,TODO,Implement GET /api/v1/positions,Return current user positions from DB/broker reconciliation,internal/api/handlers/positions/,DB model exists; no HTTP handler
12,Pending Task,High,TODO,Implement GET /api/v1/orders and POST /api/v1/orders,Order listing and placement with idempotency key + paper trading default,internal/api/handlers/orders/,DB model exists. execution/order.go is a stub.
13,Pending Task,High,TODO,Implement GET /api/v1/strategies and PUT /api/v1/user/strategies/{name},Strategy listing and per-user enable/disable with params,internal/api/handlers/strategies/,Strategy files are empty package-only skeletons
14,Pending Task,High,TODO,Implement POST /api/v1/backtests and GET /api/v1/backtests/{id},Async backtest job submission and result retrieval,internal/api/handlers/backtest/ + cmd/backtest/,Migration 000014 exists; cmd/backtest/backtest.go is empty placeholder
15,Pending Task,High,TODO,Implement GET /api/v1/models,ML model registry listing with version + metrics + active status,internal/api/handlers/models/,ONNX files exist in models/. No handler.
16,Pending Task,High,TODO,Implement GET /api/v1/news and GET /api/v1/sentiment/summary,News + sentiment REST endpoints,internal/api/handlers/sentiment/,news_pipeline.go is fully commented out
17,Pending Task,High,TODO,Implement POST /api/v1/notifications/test,Send test Telegram/WhatsApp notification,internal/api/handlers/notifications/,Migration 000015 exists; no backend implementation
18,Pending Task,High,PARTIAL,Implement GET /api/v1/instruments/search and GET /api/v1/quotes,Instrument search TODO. Batch quotes DONE via /api/v1/quotes in api_v1.go.,internal/api/handlers/market/ + internal/server/api_v1.go,GET /api/v1/quotes implemented. Instrument search handler not yet created.
19,Pending Task,High,TODO,Implement GET /api/v1/candles and GET /api/v1/indicators (REST),Historical candle and indicator seed endpoints for chart initialization,internal/api/handlers/market/,WebSocket streams exist but no REST seed endpoints
20,Pending Task,High,DONE,Implement GET /api/v1/market/overview,Indices + top gainers/losers + market breadth snapshot,internal/server/api_v1.go,Implemented in api_v1.go — uses heatmap snapshot + returns indices + gainers + losers + breadth
21,Pending Task,Medium,TODO,Implement WebSocket hub with topic subscriptions,Unified /ws/v1/dashboard with SUBSCRIBE/UNSUBSCRIBE protocol + typed envelopes,internal/realtime/,Defined in Tasks.md Global WebSocket Standards. Not started.
22,Pending Task,Medium,DONE,Implement request ID middleware,Inject X-Request-ID into every request and response,internal/middleware/requestid.go,Implemented — reads header or generates id with atomic counter suffix to guarantee uniqueness
23,Pending Task,Medium,DONE,Implement logging middleware,Structured request/response logging with duration and status code,internal/middleware/logger.go,Implemented — logs method + path + status + duration using zap
