ID,Category,Priority,Status,Title,Description,File/Location,Notes
1,Pending Task,Critical,TODO,Implement auth middleware on all HTTP routes,No authentication on any HTTP or WebSocket route. All endpoints are publicly accessible.,internal/server/routes.go,Blocks production readiness
2,Pending Task,Critical,TODO,Implement JWT auth - POST /api/v1/auth/signup,User signup endpoint with Argon2id/bcrypt password hashing + email validation + rate limiting,internal/api/handlers/auth/,Schema defined in Tasks.md
3,Pending Task,Critical,TODO,Implement JWT auth - POST /api/v1/auth/login,Login with throttling + failed login audit events + MFA placeholder,internal/api/handlers/auth/,Schema defined in Tasks.md
4,Pending Task,Critical,TODO,Implement JWT auth - POST /api/v1/auth/refresh,Refresh token rotation endpoint,internal/api/handlers/auth/,Schema defined in Tasks.md
5,Pending Task,Critical,TODO,Implement JWT auth - POST /api/v1/auth/logout,Session invalidation + all-devices logout option,internal/api/handlers/auth/,Schema defined in Tasks.md
6,Pending Task,Critical,TODO,Implement GET /api/v1/me (user profile),Protected profile endpoint to replace public /api/data/users,internal/api/handlers/profile/,Schema defined in Tasks.md
7,Pending Task,High,TODO,Implement GET /api/v1/health,Full health check with DB + Redis + Zerodha dependency status + uptime + mode,internal/api/handlers/health/,Partial stub exists at /api/v1/health
8,Pending Task,High,TODO,Implement GET /api/v1/settings and PUT /api/v1/settings,Per-user settings API with secret encryption and redaction,internal/api/handlers/settings/,Frontend Settings.tsx is ready with backend payload shape
9,Pending Task,High,TODO,Implement Zerodha broker APIs,GET status / POST connect / GET callback / POST disconnect / POST refresh,internal/api/handlers/broker/,OAuth flow + encrypted token storage required
10,Pending Task,High,TODO,Implement GET /api/v1/watchlists/default and POST items,Watchlist CRUD backed by DB,internal/api/handlers/watchlist/,Migration 000013 exists
11,Pending Task,High,TODO,Implement GET /api/v1/positions,Return current user positions from DB/broker reconciliation,internal/api/handlers/positions/,DB model exists; no HTTP handler
12,Pending Task,High,TODO,Implement GET /api/v1/orders and POST /api/v1/orders,Order listing and placement with idempotency key + paper trading default,internal/api/handlers/orders/,DB model + execution/order.go skeleton exist
13,Pending Task,High,TODO,Implement GET /api/v1/strategies and PUT /api/v1/user/strategies/{name},Strategy listing and per-user enable/disable with params,internal/api/handlers/strategies/,Strategy files are empty skeletons
14,Pending Task,High,TODO,Implement POST /api/v1/backtests and GET /api/v1/backtests/{id},Async backtest job submission and result retrieval,internal/api/handlers/backtest/ + cmd/backtest/,Migration 000014 exists; cmd/backtest/backtest.go is empty
15,Pending Task,High,TODO,Implement GET /api/v1/models,ML model registry listing with version + metrics + active status,internal/api/handlers/models/,ONNX files exist in models/
16,Pending Task,High,TODO,Implement GET /api/v1/news and GET /api/v1/sentiment/summary,News + sentiment REST endpoints,internal/api/handlers/sentiment/,news_pipeline.go is fully commented out
17,Pending Task,High,TODO,Implement POST /api/v1/notifications/test,Send test Telegram/WhatsApp notification,internal/api/handlers/notifications/,Migration 000015 exists; no backend implementation
18,Pending Task,High,TODO,Implement GET /api/v1/instruments/search and GET /api/v1/quotes,Instrument search and batch quote endpoint,internal/api/handlers/market/,Replaces hardcoded NSE-only /api/instrument
19,Pending Task,High,TODO,Implement GET /api/v1/candles and GET /api/v1/indicators (REST),Historical candle and indicator seed endpoints for chart initialization,internal/api/handlers/market/,WebSocket streams exist but no REST seed
20,Pending Task,High,TODO,Implement GET /api/v1/market/overview,Indices + top gainers/losers + market breadth snapshot,internal/api/handlers/market/,Needed by frontend MarketData.tsx
21,Pending Task,Medium,TODO,Implement WebSocket hub with topic subscriptions,Unified /ws/v1/dashboard with SUBSCRIBE/UNSUBSCRIBE protocol + typed envelopes,internal/realtime/,Defined in Tasks.md Global WebSocket Standards
22,Pending Task,Medium,TODO,Implement request ID middleware,Inject X-Request-ID into every request and response,internal/middleware/,Placeholder package exists
23,Pending Task,Medium,TODO,Implement logging middleware,Structured request/response logging with duration and status code,internal/middleware/,Placeholder package exists
24,Pending Task,Medium,TODO,Implement rate limiting middleware,Per-IP and per-user rate limits on all endpoints,internal/middleware/,Required for auth and order endpoints
25,Pending Task,Medium,TODO,Implement standard JSON response envelope,Wrap all responses in {data, meta} and errors in {error, meta},internal/contracts/,Envelope structs exist in internal/contracts/envelope.go
